TableAverage 10- daily discharges (cumecs)  of Holi Nallah ,,,,,,,,,,,,,,,,,,,,,,,,,,,

Month                 Year,,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1997,1998,2000,2001,2002,2003,2004,2008
JAN,I,1.06,1.06,1.16,0.95,1.8,1.57,1.07,0.9,0.99,0.85,0.79,0.86,0.84,1.13,0.94,0.99,1,1.18,0.68,0.91,0.71,0.65,0.58,0.60,0.43,0.66
,II,1.04,1.04,1.16,0.95,1.78,1.55,1.07,0.9,0.94,0.81,0.78,0.84,0.82,1.13,0.9,0.97,1,1.04,0.68,0.89,0.73,0.64,0.60,0.58,0.47,0.67
,III,1.06,1.06,1.26,0.96,1.83,1.5,1.07,1.05,0.98,0.87,0.85,0.8,0.9,1.13,0.93,0.98,0.99,0.89,0.67,0.74,0.74,0.65,0.56,0.61,0.45,0.65
FEB,I,1.02,0.93,1.3,1.15,1.13,1.44,1.05,1.13,1,0.94,0.96,0.79,0.82,1.15,0.9,0.99,0.89,0.8,0.65,0.70,0.81,0.69,0.59,0.60,0.58,0.67
,II,1.11,1.26,1.28,1.42,1.53,1.59,1.07,1.2,1.07,1.02,0.99,0.81,0.82,1.16,0.9,0.99,0.95,0.77,0.68,0.81,0.88,0.68,0.63,0.96,0.52,0.74
,III,1.13,1.67,1.37,1.57,1.46,1.56,1.08,1.25,1.2,1.21,1.07,0.83,0.83,1.16,0.9,0.1,1.11,0.8,0.71,0.91,0.90,0.68,0.69,0.69,0.56,0.74
MAR,I,1.88,1.75,1.48,3.01,1.69,1.74,1.28,1.89,1.31,1.59,1.06,1.72,2.41,1.52,2.38,3.08,2.1,1.88,0.83,1.07,1.04,0.71,0.78,0.97,0.70,0.87
,II,1.85,1.64,1.99,2.07,2.11,1.86,1.85,2.17,1.59,1.63,1.2,2.91,1.27,1.18,1.95,1.37,2.87,1.85,0.93,1.37,1.25,0.93,1.03,1.01,1.16,1.04
,III,2.35,2.83,2.45,2.98,1.89,2.34,1.89,3.03,2.18,2.32,2.12,3.62,1.86,1.93,1.73,1.96,2.43,2.35,1.12,2.06,1.73,1.54,1.35,1.52,1.26,1.43
APR,I,2.15,3.48,2.59,4.43,3.81,5.85,3.97,3.96,3.17,2.85,2.64,4.2,2.41,1.52,2.38,3.08,2.1,3.21,1.14,5.37,2.93,1.87,3.14,1.74,1.30,2.32
,II,2.25,4.48,2.82,5.7,3.48,4.12,4,5.08,4.05,3.42,3.04,4.73,2.48,1.86,3.96,3.39,3.94,3.69,1.41,5.72,4.12,2.46,2.26,3.33,1.72,2.74
,III,2.44,6.65,2.84,6.95,7.27,3.2,4.43,6.36,5.87,6.12,5.25,5.18,3.02,3.77,5.05,3.84,4.32,4.86,3.54,7.18,6.64,3.91,3.00,3.75,1.96,3.96
MAY,I,2.67,9.18,3.31,4.87,6.49,4.46,9.1,8.71,7.74,6.12,3.15,7.38,4.56,4.42,4.15,4.23,4.04,2.57,4.59,12.56,9.39,5.86,4.96,5.81,2.25,3.32
,II,2.4,5.08,3.67,6.07,8.59,6.49,11.22,8.82,7.05,7.85,11.3,9.97,4.8,4.6,5.12,4.56,5.46,3.66,4.07,9.69,9.35,5.74,6.14,5.35,3.89,4.52
,III,2.7,3.57,3.59,7,8.91,7.89,11.98,8.81,7.97,8.79,11.82,9.19,6.94,6.56,5.69,4.63,8.28,5.2,5.07,18.38,9.63,5.53,4.81,4.29,3.37,5.44
JUN,I,3.47,3.63,4.7,7.48,9.52,8.95,10.58,9.4,9.18,8.7,10.67,9.95,6.64,6.54,4.5,4.32,8.6,6.66,4.78,16.29,9.70,5.83,5.19,6.93,2.59,5.85
,II,5.25,8.65,4.61,8.58,8.29,9.97,9.18,10.72,11.39,9.99,11.93,9.52,7.45,6.4,6.85,5.06,7.79,5.21,6.62,20.17,10.43,6.17,4.36,4.54,3.49,5.35
,III,4.61,10.2,3.43,8.49,6.57,12.33,14.65,14.05,12.36,12.59,10.12,12.98,6.4,5.92,7.77,5.24,9.28,4.14,10.31,10.04,10.12,6.38,3.44,5.01,2.74,4.26
